way_id,highway_type,maxspeed_raw,name,surface,speed_limit_mph,start_lat,start_lon,end_lat,end_lon,center_lat,center_lon,road_type
4341221,motorway,45 mph,Stevenson Expressway,concrete,45,41.8479263,-87.6202062,41.847955,-87.6183025,41.84794065,-87.61925435,highway
4378009,motorway,45 mph,Kennedy Expressway,concrete,45,41.9010941,-87.660995,41.8978859,-87.659541,41.899777314285714,-87.66041615714286,highway
4519501,motorway_link,45 mph,,,45,41.8532416,-87.6147276,41.8501373,-87.613551,41.85147407777778,-87.61410271111112,highway
4572278,motorway_link,45 mph,Adlai Stevenson Expressway,concrete,45,41.847976,-87.6168511,41.8495379,-87.6121596,41.84846602105263,-87.61347688421053,highway
4680600,motorway,45 mph,Dan Ryan Expressway (Local),concrete,45,41.8422377,-87.6315292,41.8417973,-87.6315113,41.8420175,-87.63152025,highway
4680601,motorway,45 mph,Dan Ryan Expressway (Local),,45,41.8091633,-87.631229,41.8103643,-87.6305468,41.80972592,-87.6309429,highway
4694846,motorway,45 mph,Kennedy Expressway,asphalt,45,41.8873833,-87.6468506,41.8862613,-87.646315,41.886823425,-87.6465634,highway
5043581,tertiary,20 mph,South Indiana Avenue,asphalt,20,41.8612467,-87.6223251,41.8674176,-87.622442,41.86471995384615,-87.62239125384616,urban
23805324,motorway,40 mph,North Jean Baptiste Point DuSable Lake Shore Drive,asphalt,40,41.9049083,-87.6248606,41.8998732,-87.6189161,41.901905146874995,-87.622308021875,highway
23809835,motorway,45 mph,Stevenson Expressway,concrete,45,41.8471527,-87.6275865,41.8472017,-87.6298,41.84712438571429,-87.62859544285716,highway
23810462,motorway,45 mph,Kennedy Expressway,asphalt,45,41.8873822,-87.6465941,41.8880981,-87.6470914,41.887744133333335,-87.64684083333334,highway
23810465,motorway,45 mph,Kennedy Expressway,concrete,45,41.8891001,-87.6480032,41.890248,-87.6495249,41.889660019999994,-87.64871068000001,highway
23825835,motorway,40 mph,South DuSable Lake Shore Drive,asphalt,40,41.8676399,-87.618862,41.8674687,-87.6190181,41.8675543,-87.61894004999999,highway
23888586,residential,20 mph,East Benton Place,,20,41.885527,-87.6190998,41.8855606,-87.6162881,41.8855187,-87.6180380125,residential
23891121,secondary,30 mph,South Michigan Avenue,asphalt,30,41.8718818,-87.6241036,41.8726222,-87.6241191,41.87215413333333,-87.62410953333334,arterial
23891179,secondary,20 mph,East Randolph Street,asphalt,20,41.8844895,-87.6245708,41.8843657,-87.6243437,41.884427599999995,-87.62445725,arterial
24078089,residential,25 mph,South China Place,asphalt,25,41.8548275,-87.6328347,41.8535744,-87.6354441,41.85415786666667,-87.63422928888889,residential
24078733,residential,25 mph,South Tan Court,asphalt,25,41.8543459,-87.6361162,41.8555657,-87.633595,41.85509904615383,-87.63455876153847,residential
24080664,residential,15 mph,South Berkeley Avenue,asphalt,15,41.8007918,-87.6005287,41.799524,-87.6004953,41.800102625,-87.60051125000001,residential
24087189,unclassified,30 mph,Payne Drive,asphalt,30,41.801707,-87.6063907,41.794958,-87.6073891,41.79923537931034,-87.6073126724138,urban
24088871,tertiary,20 mph,South Blue Island Avenue,asphalt,20,41.8589008,-87.6602873,41.8578829,-87.6611456,41.858403249999995,-87.6607091375,urban
24088872,secondary,30 mph,South Blue Island Avenue,asphalt,30,41.850409,-87.6708698,41.8494841,-87.6733278,41.849944625,-87.67210437499999,arterial
24088873,tertiary,20 mph,South Blue Island Avenue,asphalt,20,41.8632636,-87.6565555,41.861055,-87.6584484,41.86206442222223,-87.65758305555556,urban
24091935,tertiary,25 mph,South Wentworth Avenue,asphalt,25,41.8561697,-87.6318505,41.8549332,-87.6318195,41.85537704285714,-87.63183260000001,urban
24091938,secondary,25 mph,South Wentworth Avenue,asphalt,25,41.852919,-87.6320346,41.8488923,-87.6319198,41.85090351481482,-87.63197710740741,arterial
24098770,tertiary,30 mph,West Hubbard Street,asphalt,30,41.8899822,-87.6340121,41.889918,-87.6385774,41.88994612666667,-87.63655494000001,urban
24102055,residential,20 mph,South Lowe Avenue,asphalt,20,41.8344477,-87.6425456,41.8308005,-87.6424503,41.832355639999996,-87.64249008,residential
