driver_id,persona_type,driver_age,years_licensed,vehicle_age,vehicle_make,vehicle_model,prior_at_fault_accidents,prior_claims,prior_violations,data_source,account_created_date,policy_start_date,hard_brake_rate_base,rapid_accel_rate_base,harsh_corner_rate_base,speeding_rate_base,phone_usage_pct_base,night_driving_pct_base,avg_speed_multiplier,jerk_rate_multiplier,calculated_claim_probability
driver_000001,average_driver,31,4,10,Kia,Civic,0,1,1,phone_plus_device,2025-05-15 11:51:14.815682,2024-04-26 11:51:14.815682,0.48696781678291184,0.5707863231532564,0.3429677897399639,0.7149623300761345,0.11766994874229113,0.19219218196852705,1.0838269351557268,0.8347755330517665,0.08211929267474644
driver_000002,safe_driver,35,13,2,Subaru,Camry,1,3,1,phone_only,2024-01-05 11:51:14.815682,2025-01-02 11:51:14.815682,0.32473502628275513,0.23489321588495993,0.0012572746243563122,0.1558968399104519,0.03490696974941134,0.1457213072206781,0.9010375774776987,0.5466438499435344,0.02413068436866063
driver_000003,safe_driver,43,22,5,Mazda,Accord,0,0,0,phone_plus_device,2023-12-03 11:51:14.815682,2024-12-02 11:51:14.815682,0.1861960869036913,0.08456230514686174,0.015544054693683204,0.04534934976295034,0.005050071470486456,0.08648321789700843,0.8916960404665139,0.69070533327932,0.02001728427137908
driver_000004,safe_driver,44,5,8,Mazda,CX-5,1,2,0,phone_plus_device,2024-09-28 11:51:14.815682,2024-05-20 11:51:14.815682,0.45644680395478815,0.13488593990107853,0.05191016086168924,0.0483330774310968,0.02806840670815754,0.1397822883602477,0.8894112412784403,0.6753757970670622,0.02410687162395433
driver_000005,safe_driver,47,25,6,Hyundai,Outback,2,4,2,phone_only,2025-01-13 11:51:14.815682,2025-07-17 11:51:14.815682,0.27344701507394825,0.19252398759627543,0.10081398519308625,0.05415247397909768,0.027661294810764375,0.061455174298368664,0.9913646292069714,0.7040850230769555,0.028120460577197668
driver_000006,safe_driver,40,9,7,Honda,Camry,0,0,0,phone_plus_device,2024-02-17 11:51:14.815682,2024-03-23 11:51:14.815682,0.35616156716637165,0.02573866347019738,0.15946359666582066,0.17779020721999123,0.04889922468386671,0.11597508227473674,0.9299059254294273,0.5377281534561325,0.020151326030966584
driver_000007,safe_driver,51,5,4,Toyota,Accord,0,1,0,phone_plus_device,2023-10-07 11:51:14.815682,2024-05-09 11:51:14.815682,0.20527507885688764,0.10964966782441692,0.12720222882298868,0.04975467123460364,0.011010869222577975,0.07289417838111543,0.8606489629013548,0.6893308871810298,0.02003538388648371
driver_000008,safe_driver,36,2,7,Subaru,Outback,0,0,0,phone_only,2023-10-20 11:51:14.815682,2024-10-10 11:51:14.815682,0.29806471045483907,0.12586592355437773,0.019444151744645307,0.1358415306863529,0.01771487832947769,0.05541711872321706,0.9116653414074607,0.759151024510881,0.020056940331277095
driver_000009,safe_driver,33,1,2,Hyundai,CX-5,0,2,0,phone_only,2024-05-12 11:51:14.815682,2025-07-13 11:51:14.815682,0.17785585544516386,0.1359386613677758,0.08522558098054167,0.056269743790858175,0.012490322394105025,0.13613491047618304,0.9884898398914019,0.6329392235160372,0.02003958714419951
driver_000010,safe_driver,57,36,8,Honda,Outback,0,2,1,phone_only,2024-02-29 11:51:14.815682,2024-07-19 11:51:14.815682,0.2916086345573676,0.06354717936168532,0.07948632020890704,0.011621555899376959,0.018948655948845806,0.12840706019485693,0.9977963265669589,0.5795609174516456,0.016047865426822003
